3398,3358,3107,3224|202,50,220,19,20,162,95,65,202,140,165
3224,3107,3269|204,140,211,86,5,120,189,29,149,9,100,169,218,199,143,159,230,81,88
3347,3107,3265,3269|128,103,68,50,29,103,136,128,197
3218,3107,7417,3265,3393,3358|106,99,213,34,152,6,211,19,50,152,159,45,182,226,45,97,75,135,158,131,80,47,58,166,130
2998,3107,3265,58,3224,3396,3661|236,219,151,70,82,85,217,235,28,163,160,193,136,204,87,139,157,135,91,44,136,82,188,132,92,65,57,47,121,233,100,119
3216,3260,2725,5987,3107,3358|33,77,231,27,70,209,106,167,163,16,237,4,27,209,26,102,165,28,112,212,107,111,16,216,119,65,138,79,32,152,12,168
3107,3358,3260,5987,3269,3224|39,152,71,16,52,162,127,219,143,144,200,39,40,154,57,239,113,102,124,239,22
3216,3224,2998,3988,3843|168,172,50,160,133,208,64,82,170,44,113,66,105,52,3,27,133,182,202,33,204,163,218
3347,3107,3224,3524|188,141,110,120,219,137,57,108,47,110,98,105,164,18,165,189,106,62,27,140,150,77,5,120,66,166,100,92
3107,3358,3260,6503|137,25,5,180,66,42,24,28,35,63,203,107,201,151,187,217,32,82,96,79,114,105,25,129,67,231,21,141,3,154,174,10,63,43
2998,3107,3224,3358|195,131,189,31,61,119,194,4,155,200,211,110,16,106,20,102,227,183,237,18,191,134
3107,2725,4791,3260,3265|224,104,72,208,234,140,181,207,75,93,73,7,113,55,213,165,232,46,183,88,99,68,192
3398,3269,3107,3224,2998,3265,6503|94,52,157,223,223,160,164,54,41,63,209,117,207,105,160,190,23,21,179,58,81,42,43,70
3265,3224,58,3398,3107,3358,3216|44,227,191,74,114,153,72,198,220,85,109,177,24,203,162,192,24,90
2998|175,229,133,161,162,220,4,22
3218|23,119,41,29,232,209,44,175,130,41,161,109,89,187,81,15,6,20
3107|170,235,210,39,78,180,18,64,96,21,65,66,180,105,66,135,141
3107,3224,45015,2725,3358,3216,6503,3177|14,171,28,219,184,65,221,55,85,148,69,140,95,126,24,158,169,43,155,146,102,209,155,153,239,159,20,173
3269,3107,3216,3369,3524,3224,3358,2998|77,200,107,132,163,156,201,224,69,134,179,6,53,153,220,223,138,59,131,133,19,19,133,201,84,132,89,95,212
3396,3358,3107,54|188,34,236,112,213,82,197,62,182,1,59,184,200,135,59,182,9,98,197,8,57,10,90
58,3177,3224,3351|109,163,111,226,14,237,102,70,199,208,11,85,149,123,235
3107,3224,2998,3358,3265|68,65,180,81,18,104,88,11,42,123,43,238,202,131,129,168,28
3224,3107,2998|24,46,197,66,85,182,195,100
3269,3224,3177|152,229,50,100,190,7,109,216,37,10,215,212,211,122,211,184,135,210,99,112,31,56,13,24,199
3107,3358,3224,3369,3524,3269|92,112,147,138,45,167,57,53,117,236,109,71,6,5,95,208,203,158,236,43,78,180,171,35,34,178,139,154,105,122,39,58,66,15,213,83
3107,3269|172,165,228,92,119,8,203,75,120
3107,3311,6503,3358,3224,3260,3269,3265,3216|35,207,109,222,177,94,18,11,218,236,64,114,149,116,236,184,224,132,233,72,175,200,194,203,10,172,43,152,4,56,129,112,19
3107,3216,3265,58|51,190,138,86,73,149,151,70,237
3269,3107,3358,2998,3661,3260,3651,10626|112,20,150,94,151,195,163,146,9,60,213,165,164,113,68,108,198,11,167,121,3,5
3177,10626,3351|81,215,189,42,106
3398,3224,3107,3269,3347|123,225,105,140,184,121,220,18,78,144,224,219,18,156,177,104,35,48,21,157,94,37,15,168,14,210,155,188,239,140,63,102,136,221
3358,3216,3260,3269,58,3524|122,103,46,191,126,26,24,175,213,60,128,41,115,66,80,215,212,53,96,38,138,132,73,189,164,75,149,57
3177,3224|36,53,235,219,20,65,5,192,85,115
3351,3224,3437,3107|191,20,216,18,228,185,94,58,128,106,104,42,80,219,165,121,68,240
3857,2998,3393,58,3269,3224|219,134,50,69,64,194,93,229,189,234,46,149,120,184,213,58,151,132,5,144
3107,3224|216,70,214,190,188,32,138,125,173
3107,2998,2725,3216,3982,3265|156,67,53,79,213,187,171,49,121,103,114,65,206,7,227,69,210,95,233,143,150,89,131,103,211,175,51,233,36,66,2,155,222,37,127,235,204,148,18
3218,2998,3107,3260,3358,58|59,157,120,31,26,123,182,109,22,103,50,189,195,229,106,123,86,60,61,196,20,167,92,1,192,124
2998,3358|217,215,101,175,207,153,20,126
3107,3224|199,93,109,8,205,205,235,175,33,2,48,123,143,173
2725,3107,3982,3265,2998|178,106,187,228,22,76,102,65,201,122,24,234,132,233,47,158,137,176,135,92,70,3,103,121
3107,3396|18,92,135,54,173,225,219,207,213,184,87,17,230,101,107,97,100,195,178,108
3107,58,3358,3224,2725,3269,3216|223,105,24,117,36,15,29,8,70,113,83,77,155,85,220,177,165,58,29
3107,3358,3265,3224|64,111,225,117,26,150,103,230,159,50,179,196,123,199,142,195,208
3107,3224|211,63,213,153,232,9
2998,3224,3107,3358|207,26,129,16,81,79,54,59,6,172,154,227,24
3107,3260,58|24,55,92,6,19,158,125,75,64,205,93
3265,3651,3107,3177,3224,58|93,71,235,200,215,28,185,73,152,19,121,147,94,188,74,208,154,201,117,37,238,60,129,209,147,77,167,179,206,46,173,30
3265,3107,3398,3224|149,239,217,44,170,149,62,38,50,154,203,21,38,6,45,215,23,231,211,73
2998,58,133|94,68,6,51,149,30,219,83,206,26,69,75,194,13,227
3224,3107,2998|2,62,34,60,205,28,22,223,22,84,70,200,142
2725,3260,3107,3269,3224,4791|52,207,102,133,171,184,63,35,34,238,86,170,67,202,11,133,169,67,191,47,64,74,216,39,16,174
3177,3107,3224,3398,10626,3269,3347|116,54,110,96,195,46,87,16,34,223,226,227,138,168,60,98,151,37,210,206,84,86,120,143,134,93,118,87,136,221,157,187,118,125
58,2998|76,52,43,24,166,46,110,110,98
2998,3224,3107,3216|154,15,197,196,187,217,47,16,127,176,37,102,46,47
3224,3107,2725,3857,3311|181,233,91,66,60,224,162,119,149,214,115,214,99,103,47,170,103,45,101,16,126,82
3524,3107,3265,3358,3269,3224,2998|207,55,97,172,194,3,239,221,127,189,222,165,235,92,106,236,149,181,172,149,72,78,95
3225,3375,3107,3398,3224,3269|194,33,146,223,64,52,41,142,212,60,49,148,129,25,46,216,62,173,203,49
58,3265,3107|121,79,108,90
3107,3358,2998,3224|20,69,191,226,129,79,56,190,62,88,107,162,168,155,23
3107,3224|161,20,117,176,193,212,12,166,65,192,139,221,143
3224,3107,3225,3216,3311,58,6503,3265,3139|77,88,135,145,190,58,165,11,2,171,172,187,95,187,188,235,23,203,133,121,20,14,135,70,181,173,65,75,88,166,54,125,23,82,13,174,50,223
3398,7417,3358,3107,3524,3265,3260|110,3,125,154,52,1,83,27,124,66,175,115,80,33,186,105,91,2,167,149,63,87,210,67,6,96,112,144,171,238
58,3265|102,92,64,192
3107,3358,58,3398,3224|240,149,117,101,18,116,222,68,99,96,168,200,218,97,43
3107,3225,3398,3224,45015|149,100,45,210,51,222,111,137,97,210,221,175,73,88,81,220,145,2,183,10
3107,3139,3269|27,80,230,46,235,128,230,24,205,27,14,28,46,22
58,3107,3269,3224,2998,3398,3236|127,44,167,169,121,65,129,16,238,144,153,168,17,53,177,192,14,120,41,124,159,184,57,152,224,94,96,135,185,77
2998,58|115,195,163,198,62,73,239,162,173,172
3107,3358,3651,58,2998|123,215,155,113,235,118,33,96,157,97,148,170,192,130,218,181,93,59
3225,3988,3265,3311,3269,2998,3107,3358,6503,3224|124,184,102,111,145,240,105,91,159,209,16,238,156,112,39,85,179,148,147,49,68,176,28,196,142,19,82,43,51,94,204,60,12,28,31,24
3216,3225,2998,3224,3107,7417,3269|206,158,129,96,116,210,2,100,105,120,185,209,193,50,64,140,2,104,35,6,137,62,74,205,124,21,230,188
3107,3347|13,100,228,7,127,198,205,108,212
3265,58,3107,3216,3358,6503,3437|103,132,231,14,195,143,90,95,52,201,53,50,209,24,5,99,68,56,217
3224,3351,3177|81,121,170,56,69,12,85,171,65,47,110,156,154
58,3857|134,203,235,217,51,235
3269,3107,3224,3265|20,158,16,171,205,177,47,167,195,112
3358,58|216,9,75,64,58,12,88,11,129,197,175,126
3107,3224|159,226
3216,3265,3107,3224,3398,3989,3369|68,25,42,179,163,25,178,44,30,170,84,14,103,45,47,74,18,147,24,180,115,194,90,42,15,91
3216,3107,6503,2725,3358,3224,3218|179,156,168,38,43,70,43,94,63,155,188,75,5,194,209,103,220,123,29,138,54,152,99,19,210,169,87,77,182,78,181,43,195,126
45015,3218,3107,3265,3358,3651|149,224,69,183,71,198,52,160,220,168,68,72,82,172,49
2998,3265,3177|75,119,174,116,184,219,202,27,129,235,11,77,236,128,102,37,203,136,38,227
3224,3265,3218,3107,3396|78,59,90,76,137,187,126,16,3,181,137
3265,3107,3260,3857|90,113,8,84,29,137,208,240,229,124,79,221,16,78,119,209
58,928,3398|195,107,176,151,83,36,210,84,173,183,58,42,144,124,158,221,227,68,73,127,104,110,127,163
3107,3265,3260|149,204,133,73,130,70,181,72,16,205,114,230,100,85,118,230,75
3358,3107,3651,3265,3269,3224,2725,3216,3377|204,149,40,221,125,5,217,190,156,77,1,218,195,147,81,100,8,38,19,190,209,220,77,111,90,40,231,234,91,221,96,195,179,174,69,101,222,28,2,60,200,132
3107,3269|138,110,167,86,171,34,4,131,93,29,91,226,225,29,154,216,69,196,68,38,192,187
5423,3107,3269|6,208,33,224,114,143,40,192,145
3260,3224,3218|151,104,228,90,229,34,99,166,51,216,84,10,47,25,233,178,7
3398|139
7417,3265,3358,3269,58|34,111,222,61,230,225,165,111,22,137,99,171,183,168,46,138,57,39,37,126,1,180,186
3107,3224,3358,2998|198,46,181,21,48,20,124,116,137,62,228,174,184,188,172,85,65,161,226
3107,3224,3265,3260,3524,2998,6503|150,46,203,113,222,209,78,97,201,129,22,22,140,222,187,13,203,179,53,164,239,177,119,162,146
3107|143,95,88,186,162,50,228,124,100,165,48,105,44,96,40,53,175,186,58,75,64,181,228,47,235,109,194,114,37,174,3
3661|109,88,72,124,205,199,225,206,205,86,131,60,233,155,16,13,224
3107,2725,3265,3224|68,2,218,84,73,21,157,169,232,86,203,35,37,140,12,27,64
3107,3224,3216,3269|63,101,52,90,176,48,238,61,79,141,212,208,239,48,86
3107,3265,2998|66,52,92,144,189,153,168,14,207,67,35,11,147,187,217,132,40,90,15,165,220,167,53
3358,3524,3224,58|225,16,185,80,115,102,117,147,5,54,48,9,230,190,26,164,217,228,240,8,127
58,3107|16,117,47,159,150,204,238,155
3107|35,118,239,141,226,60,151,101,190,96,148,159,196
3225,3107,5423,3398,3265,3260,3224,3358,5987|141,165,117,172,78,190,143,27,216,161,144,208,208,115,109,31,189,175,220,168,32,71,148,12,109,161,87
3107,3265|212,40,146,11,68,41,22,97,58,71,238,70,153,11
3107,3218,3358|219,224,210,186,174,146,30,207,43,181,67
3524,3107,58,3358|141,53,39,239,98
3107,3358,3224,3269|225,92,71,134,238,35,155,104,14,79,150,80,94
3269,2998|96,24,171,182,114,63,109,84,70,203,232
3358,2998,3875|35,133,117
3265,3107|231,86,239,110,68,197,88,105
2725,3265,3224|71,219,210,227,159,233,240,150,17,102,138,208,13,66,15,18
3107,3398,3396,3224|104,143,103,114,158,171,107,205,99,69,4,14,139,150
3107,3982,3224|51,9,228,43,228,60
3224,3265,2998,3260,3358,3216,3651,3661,3107,3269|129,11,64,78,33,94,109,72,4,169,100,112,15,141,144,185,65,98,54,195,171,165,163,169,196,80,162,231,186
3224,3265,3107,45015,58,2725,3269,3985|46,139,6,178,51,118,61,166,117,225,54,48,18,224,110,149,215,198,14,206,142
3224,3351,3177,3107|28,165,213,156,120,27,72,123,229,39,56,202,191,83,34
58,3396,3393|203,62,105,17,132,64
3216,3107|20,129,68,182,62,91,3,46,188
2998,3437|72,211,78,62,164,159,110,138,146
3107,3398,3269,2998,3224,4791|178,211,31,199,119,224,10,126,170,122,134,223,199,46,87,125,112,116
58,3358,3107|212,207,76,194,125,81,157,175,164,210,181,92,105,158,114,136,114,143
3107,3224|113,116,212,118,68,130,87,27,230
3437,3393,3265|128,25,203,84,99,115,234,230,217,201,212,50,121
3398,3224,3107,3358|35,129,86,126,83,46,105,115,175,217,69,5,160,52,41,175,74,54
7417,58,2998,3218,3107,3265|227,21,1,77,61,163,88,107,18,215,41,154,53,111,40,237,195,58,113,196,198,171,44,13,108,228,18,128,202,9,143
3358,3265,5727,3843,133|9,36,150,71,85,235,163,77,238,59
3107,3347,3269,2998|17,8,231,174,203,146,67,35,96,233,69,156,138,148,56,21,207,184,23,166,189,96
3107,2998,3437|11,99,30,130
2998|160,221,32,205,221,220,88,132,164,8,181,154,156,194,49
3107,3358|63,232,140,71,91,179
3224,3107,3218|79,157,87,83,76,63,192,181,222,114,170,98,159
3524,3224,58|88,22,140
3107,2998,3269|20,202,134,164,157,59,165,224,240,190,133,225,225
3224,2998,3107,3265|1,83,195,192,48,108,235,3,145,157,183,63,159,48,168,184,134,214,35,181
2998,3224|16,28,207,17,236
3139,3107,3358,58|53,174,33,108,208,162,115,116,90,200,183,35,112,237,156,38,211,46,130,99,69,135,95,54,10,42,1,232,165,196,72
3224,3107|203,123,159,11,160,87
3224,3107,2998,3265|40,122,61,184,67,198,88,190,96,80,53,155,69
3216,3107,3224,3358|119,50,15,114,125,199,184,143,201
3224,3107|20,20,89,184,229,169,69,53,113,108,213,101,158,25
3107,3265,2725,45015,58,3358,133,3260|196,93,120,119,7,45,65,174,7,32,187,40,234,138,106,121,219,210,149,210,80,214,141
2998|41,227,176,172,56,74
3358,3524,3107,3988,3224|240,224,105,214,173,176,128,185,93,62,169,128
3107,45015,3398,3224|181,218,178,30,127,32,141,88,67,195,201,78
3216,3107,3269,3398,45015|230,9,237,82,63,143,98,71,132,236,54,189,162,150
3224,3107,3218|161,156,182,88,128,58,43,135,11,38,210,47,51,161,80,230,143
3358,3269,58,3224,3107|135,182,131,83,194,56,23,235,106
2998|91,90,75,72,68,70,2,231,46,174,227
3107,3358|140,187,43,233,145,39,61,220,176,222,118,157,143,210,210,58,76,143,228,107,74,85
3982,3107,3224,3396|74,81,200,140,42,95,134,159,237,34,36,174,174,74,107,190,226
3107,3396,3358,58|52,130,92,132,181,21,114,93,76,38,142,152,107,114
3107,3396,3224|18,76,156,86,24,171,83,213
3260,3107|20,166,138,238,58,57,81,230,156
133,3358,3107,3216|35,66,136,176,133,87,167
3224,3218,3358,3265,3107,3269|144,239,114,204,157,130,155,159,37,40
3985,3107,3224,7417,2998,3265|61,133,143,231,90,12,176,159,55,119,230,163,54,174,163,39,223
3265,3218,3107,3216,3224,58|46,212,177,142,95,216,231,107,202,156,188,53,179,121,39
3265,3107|9,93,50,78,65,177,197,238,53,240,232
3107,3265,3393|25,160,169,164,84,158,128
3524|84,44,33,238,60,158,50,196,127,239,9,79,156,179,208
2998|139,221,178,30,89,67
2998,3107,3224,3358,3218|3,106,108,54,58,239,178,39,54,222
3224,3107,3260,3358,3139,2725,4791,58,10626,7417|48,211,214,212,196,218,98,15,61,230,108,121,225,129,185,79,127,116,194,176,129,158,102,207,139,170,149,226,71,164
3396|197,78,145,68,154,57,189,223,125,199
3107,58|95,158,152,121,103,61,234,10
3224,3265|161,133,159,111,17,160,73,104,165
3107,58|101,20,122,230,229,149
3265|142,130,103,159,53,194,57,14,32
3265,58,3224,3107,2998,3269,3358|45,57,71,179,210,105,169,33,164,187,116,178,186,199,26,229,163,45,55,45,206,46,225,132,97,108
3216,3358,3265,3224,3269|23,42,22,197,228,68,20,161,149,237,63,173,142,134
3265,133,3269|226,117,52,72,86,116,128,240,5,158,181,112
3107,58|158,222,214,211,173,187,82,201,104
3139,3260,3107,58|21,8,66,150,209,36,57,172
3107,3224,3216|204,148,80,60,229,183
3224|110,84,180,199,45,33,236,162,206,71,120
3398,58,3857,3524|93,125,221,219,212,23,50,207,182
3393,3358,3224,3107,10626|31,45,71,168,140,181,116,136,207
3218,3358|139,181,12,196
3107,3224|64,153,227,17,228,212,2,1
58,3269,54|213,158,16,216,215
3216,3398,3358,3107,3437|154,182,5,236,200,104,214,206,60,92,237,127,172
3107,3224,3265|184,170,42,158,221,126,219,24,237,47,138,59
58,3358,3107,133,2998|141,165,134,44,232
2998,3107,3358,3224|63,27,1,34,139,145,66,143,73,188,107,168
3260,3358,2725,3107,6503,58|24,187,66,41,69,122,207,62,52,184,204,236,128,206,200,44,54,12,194,92,219,3,64,211
3107,3358,3269,58,3260,3224|224,177,203,74,214,91,150,230,116,120,45,53,225,230
3358,2998,3224,3524,3107,3269,3265|235,136,112,57,183,138,91,26,136,72,15,102,70,29,176,80,203,1,1,33,220,18,36,171
3358,3224,3107,3260,2998|178,186,209,7,119,152,149,204,197,205,209
3224,3216,3107,3857,3396,3269,2998,58|6,168,116,39,163,168,155,151,74,128,70,136,82,193,179
3224,3260|170,198,85,141,101,141,47,201,108,63
3524,3224,3358,3398,3216|92,178,194,46,104,87,205,18,175,165,230
58,3524,2998|77,50,222,226
3224,3107,3398|216,223,47,137
3107,58,3224|226,148,235,84,191,44,227
3393,3269,3107,3218|177,202,87,198,103,169
3107,58|202,231,175,92,222,209,151,31,80,120
3393,58,3369,3269|35,144,194,54,200,87,168,129
3107,3224|14,81,47,190,48
3107,3358,3224|101,66,181,109,46,240,58,164,133,221,164
3224,58,3107|168,226,201,11,166,77,136
3107,3358,3265|239,138,108,8,179,225,116,35,43,222
3107,3358|158,57,142,187,146,8,54
3107,3437,3236|164,174,14
3396,3265,5987,3107|7,222,130,172
3107|207,79,237
58,3177|23,21,187,205,149,21
2998,3398,3224,3358,3107,58,3269|23,27,179,53,224,73,63
3377|186,165
3107,3269,3224,3260|75,151,75,43,149,104
3107,58|171,196,65,25
3398,3216,3107,3982|215,190,83,89
2998|36,76
10626|236
10626|7
10626|206
10626|67
3377|211
9257|8
